Number,Date,State/Tribal Government,Incident Description,Declaration Type
4087,10/30/2012,Connecticut,Hurricane Sandy,Major Disaster Declaration
3358,10/29/2012,West Virginia,Hurricane Sandy,Emergency Declaration
3357,10/29/2012,Delaware,Hurricane Sandy,Emergency Declaration
3355,10/29/2012,Rhode Island,Hurricane Sandy,Emergency Declaration
3356,10/29/2012,Pennsylvania,Hurricane Sandy,Emergency Declaration
3359,10/29/2012,Virginia,Hurricane Sandy,Emergency Declaration
3352,10/28/2012,District of Columbia (DC),Hurricane Sandy,Emergency Declaration
3349,10/28/2012,Maryland,Hurricane Sandy,Emergency Declaration
3350,10/28/2012,Massachusetts,Hurricane Sandy,Emergency Declaration
3351,10/28/2012,New York,Hurricane Sandy,Emergency Declaration
3354,10/28/2012,New Jersey,Hurricane Sandy,Emergency Declaration
3353,10/28/2012,Connecticut,Hurricane Sandy,Emergency Declaration
5022,10/23/2012,Colorado,Wetmore Fire,Fire Management Assistance Declaration
4084,10/18/2012,Florida,Hurricane Isaac,Major Disaster Declaration
4083,9/25/2012,Washington,"Severe Storm, Straight-line Winds, and Flooding",Major Disaster Declaration
5021,9/24/2012,California,Shockey Fire,Fire Management Assistance Declaration
4082,9/21/2012,Alabama,Hurricane Isaac,Major Disaster Declaration
5020,9/20/2012,Washington,Table Mountain Fire,Fire Management Assistance Declaration
5019,9/18/2012,Idaho,Karney Fire,Fire Management Assistance Declaration
5018,9/13/2012,Washington,Peavine Fire,Fire Management Assistance Declaration
5017,9/12/2012,Washington,Poison Fire,Fire Management Assistance Declaration
5016,9/11/2012,Montana,Sawtooth Fire,Fire Management Assistance Declaration
5015,9/10/2012,Washington,Byrd Canyon Fire ,Fire Management Assistance Declaration
5014,9/9/2012,Wyoming,Sheep Herder Hill Fire,Fire Management Assistance Declaration
5013,9/9/2012,Washington,Barker Canyon Fire,Fire Management Assistance Declaration
5012,9/9/2012,Washington,1st Canyon Fire,Fire Management Assistance Declaration
5011,9/6/2012,Washington,Highway 141 Fire Complex,Fire Management Assistance Declaration
5010,9/1/2012,South Dakota,Wellnitz Fire,Fire Management Assistance Declaration
5009,8/30/2012,Nebraska,Region 23 Fire Complex,Fire Management Assistance Declaration
5008,8/29/2012,Montana,Nineteen Mile Fire,Fire Management Assistance Declaration
4081,8/29/2012,Mississippi,Hurricane Isaac,Major Disaster Declaration
4080,8/29/2012,Louisiana,Hurricane Isaac,Major Disaster Declaration
3348,8/28/2012,Mississippi,Tropical Storm Isaac,Emergency Declaration
3347,8/27/2012,Louisiana,Tropical Storm Isaac,Emergency Declaration
4079,8/24/2012,New Mexico,Flooding,Major Disaster Declaration
4078,8/22/2012,Oklahoma,Freedom and Noble Wildfires,Major Disaster Declaration
4077,8/20/2012,Ohio,Severe Storms and Straight-line Winds,Major Disaster Declaration
5007,8/19/2012,California,Ponderosa Fire,Fire Management Assistance Declaration
5006,8/15/2012,Idaho,Trinity Ridge Fire,Fire Management Assistance Declaration
5005,8/14/2012,Washington,Taylor Bridge Fire,Fire Management Assistance Declaration
5004,8/13/2012,California,Wye Fire,Fire Management Assistance Declaration
5003,8/4/2012,Oklahoma,Drumright Fire,Fire Management Assistance Declaration
5002,8/4/2012,Oklahoma,Glencoe Fire,Fire Management Assistance Declaration
5001,8/3/2012,Oklahoma,Luther Fire,Fire Management Assistance Declaration
5000,8/3/2012,Oklahoma,Freedom Fire,Fire Management Assistance Declaration
2999,8/3/2012,Oklahoma,Noble Fire,Fire Management Assistance Declaration
2998,8/3/2012,Oklahoma,Geary Fire,Fire Management Assistance Declaration
4076,8/2/2012,Wisconsin,Severe Storms and Flooding,Major Disaster Declaration
4074,8/2/2012,Montana,Wildfires,Major Disaster Declaration
4075,8/2/2012,Maryland,Severe Storms and Straight-line Winds,Major Disaster Declaration
4073,7/31/2012,District of Columbia (DC),Severe Storms,Major Disaster Declaration
2997,7/30/2012,Oklahoma,Fair Grounds Fire Complex,Fire Management Assistance Declaration
4072,7/27/2012,Virginia,Severe Storms and Straight-line Winds,Major Disaster Declaration
4071,7/23/2012,West Virginia,Severe Storms and Straight-Line Winds,Major Disaster Declaration
2996,7/20/2012,South Dakota,Myrtle Fire,Fire Management Assistance Declaration
4070,7/19/2012,New Jersey,Severe Storms and Straight-Line Winds,Major Disaster Declaration
4069,7/6/2012,Minnesota,Severe Storms and Flooding,Major Disaster Declaration
2995,7/3/2012,Wyoming,Oil Creek Fire,Fire Management Assistance Declaration
4068,7/3/2012,Florida,Tropical Storm Debby,Major Disaster Declaration
2994,7/2/2012,Utah,Shingle Fire,Fire Management Assistance Declaration
2993,7/2/2012,Wyoming,Squirrel Creek Fire,Fire Management Assistance Declaration
3345,6/30/2012,West Virginia,Severe Storms,Emergency Declaration
3346,6/30/2012,Ohio,Severe Storms,Emergency Declaration
2992,6/29/2012,Wyoming,Arapahoe Fire,Fire Management Assistance Declaration
2991,6/29/2012,Utah,Rose Crest Fire,Fire Management Assistance Declaration
4067,6/28/2012,Colorado,High Park And Waldo Canyon Wildfires,Major Disaster Declaration
2990,6/27/2012,Utah,Clay Springs Fire,Fire Management Assistance Declaration
2989,6/27/2012,Montana,Ask Creek Fire,Fire Management Assistance Declaration
2988,6/26/2012,Montana,Dahl Fire,Fire Management Assistance Declaration
2987,6/26/2012,Montana,Corral Fire,Fire Management Assistance Declaration
2986,6/24/2012,Utah,Wood Hollow Fire,Fire Management Assistance Declaration
2985,6/24/2012,Colorado,Weber Fire,Fire Management Assistance Declaration
2984,6/24/2012,Colorado,Waldo Canyon Fire,Fire Management Assistance Declaration
2983,6/22/2012,Utah,Dump Fire,Fire Management Assistance Declaration
4066,6/22/2012,Vermont,"Severe Storm, Tornado, and Flooding",Major Disaster Declaration
2982,6/20/2012,New Mexico,Romero Fire,Fire Management Assistance Declaration
2981,6/18/2012,New Mexico,Blanco (CR 4901) Fire,Fire Management Assistance Declaration
4065,6/15/2012,New Hampshire,Severe Storm and Flooding,Major Disaster Declaration
4064,6/14/2012,Oklahoma,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
2980,6/9/2012,Colorado,High Park Wildfire,Fire Management Assistance Declaration
2979,6/9/2012,New Mexico,Little Bear Fire,Fire Management Assistance Declaration
2978,5/26/2012,New Mexico,Whitewater-Baldy Fire Complex,Fire Management Assistance Declaration
4063,5/24/2012,Kansas,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
2977,5/22/2012,Nevada,TRE Fire,Fire Management Assistance Declaration
2976,4/30/2012,Texas,Livermore Ranch Fire Complex,Fire Management Assistance Declaration
4062,4/18/2012,Hawaii,"Severe Storms, Flooding, and Landslides",Major Disaster Declaration
2975,3/26/2012,Colorado,Lower North Fork Fire,Fire Management Assistance Declaration
4061,3/22/2012,West Virginia,"Severe Storms, Flooding, Mudslides, and Landslides",Major Disaster Declaration
4059,3/16/2012,West Virginia,"Severe Storms, Tornadoes, Flooding, Mudslides, and Landslides",Major Disaster Declaration
4060,3/16/2012,Tennessee,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4058,3/9/2012,Indiana,"Severe Storms, Straight-line Winds, and Tornadoes",Major Disaster Declaration
4057,3/6/2012,Kentucky,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4056,3/5/2012,Washington,"Severe Winter Storm, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4055,3/2/2012,Oregon,"Severe Winter Storm, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4054,2/2/2012,Alaska,Severe Storm,Major Disaster Declaration
4052,2/1/2012,Alabama,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",Major Disaster Declaration
4053,2/1/2012,Utah,Severe Storm,Major Disaster Declaration
2974,1/19/2012,Nevada,Washoe Fire,Fire Management Assistance Declaration
4051,1/6/2012,Massachusetts,Severe Storm and Snowstorm,Major Disaster Declaration
4159,12/20/2013,Texas,Severe Storms and Flooding,Major Disaster Declaration
4158,12/13/2013,California,Rim Fire,Major Disaster Declaration
4157,11/26/2013,Illinois,"Severe Storms, Straight-line Winds, and Tornadoes",Major Disaster Declaration
4156,11/26/2013,Nebraska,"Severe Storms, Winter Storms, Tornadoes, and Flooding",Major Disaster Declaration
4155,11/8/2013,South Dakota,"Severe Winter Storm, Snowstorm, and Flooding",Major Disaster Declaration
4154,10/31/2013,North Dakota,Severe Winter Storm,Major Disaster Declaration
4152,10/29/2013,New Mexico,"Severe Storms, Flooding, and Mudslides",Major Disaster Declaration
4153,10/29/2013,North Carolina,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4151,10/24/2013,Santa Clara Pueblo,Severe Storms and Flooding,Major Disaster Declaration
4150,10/22/2013,Kansas,"Severe Storms, Straight-line Winds, Tornadoes, and Flooding",Major Disaster Declaration
4149,10/1/2013,Pennsylvania,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
4148,9/30/2013,New Mexico,Severe Storms and Flooding,Major Disaster Declaration
4147,9/27/2013,Santa Clara Pueblo,Severe Storms and Flooding,Major Disaster Declaration
4146,9/25/2013,North Carolina,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4145,9/14/2013,Colorado,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
3365,9/12/2013,Colorado,"Severe Storms, Flooding, Landslides, and Mudslides",Emergency Declaration
5050,9/10/2013,California,Clover Fire,Fire Management Assistance Declaration
4144,9/6/2013,Missouri,"Severe Storms, Straight-line Winds, and Flooding",Major Disaster Declaration
4143,9/4/2013,Arkansas,Severe Storms and Flooding,Major Disaster Declaration
4142,8/29/2013,Karuk Tribe,Wildfire,Major Disaster Declaration
5049,8/23/2013,California,Rim Fire,Fire Management Assistance Declaration
5048,8/21/2013,Washington,Eagle Fire,Fire Management Assistance Declaration
5047,8/19/2013,Montana,Lolo Creek Fire Complex,Fire Management Assistance Declaration
5046,8/18/2013,Oregon,Government Flats Fire Complex,Fire Management Assistance Declaration
5045,8/15/2013,Idaho,Beaver Creek Fire,Fire Management Assistance Declaration
5044,8/13/2013,Utah,Rockport Five Fire,Fire Management Assistance Declaration
5043,8/13/2013,Idaho,Elk Fire ,Fire Management Assistance Declaration
5042,8/10/2013,Washington,Mile Post 10 Fire ,Fire Management Assistance Declaration
4141,8/8/2013,Wisconsin,"Severe Storms, Flooding, and Mudslides",Major Disaster Declaration
5041,8/8/2013,California,Silver Fire,Fire Management Assistance Declaration
5040,8/6/2013,California,Falls Fire,Fire Management Assistance Declaration
4140,8/2/2013,Vermont,Severe Storms and Flooding,Major Disaster Declaration
5039,8/2/2013,Oregon,Brimstone Fire,Fire Management Assistance Declaration
4138,8/2/2013,Florida,Severe Storms and Flooding,Major Disaster Declaration
4137,8/2/2013,South Dakota,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
4136,8/2/2013,Texas,Explosion,Major Disaster Declaration
4139,8/2/2013,New Hampshire,"Severe Storms, Flooding, and Landslides",Major Disaster Declaration
4135,7/31/2013,Iowa,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
5038,7/30/2013,Washington,Colockum Tarps Fire,Fire Management Assistance Declaration
5037,7/28/2013,Oregon,Douglas Fire Complex,Fire Management Assistance Declaration
4134,7/26/2013,Colorado,Black Forest Wildfire,Major Disaster Declaration
4133,7/26/2013,Colorado,Royal Gorge Wildfire,Major Disaster Declaration
4132,7/26/2013,West Virginia,Severe Storms and Flooding,Major Disaster Declaration
4131,7/25/2013,Minnesota,"Severe Storms, Straight-line Winds, and Flooding",Major Disaster Declaration
5036,7/19/2013,Oregon,Pacifica Fire,Fire Management Assistance Declaration
5035,7/18/2013,Montana,West Mullan Fire,Fire Management Assistance Declaration
4130,7/18/2013,Missouri,"Severe Storms, Straight-line Winds, Tornadoes, and Flooding",Major Disaster Declaration
4128,7/12/2013,North Dakota,Severe Storms and Flooding,Major Disaster Declaration
4129,7/12/2013,New York,Severe Storms and Flooding,Major Disaster Declaration
4127,7/10/2013,Montana,Flooding,Major Disaster Declaration
5034,7/5/2013,Nevada,Carpenter 1 Fire,Fire Management Assistance Declaration
5033,7/2/2013,Arizona,Dean Peak Fire,Fire Management Assistance Declaration
4126,7/2/2013,Iowa,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
5032,6/30/2013,Arizona,Yarnell Hill Fire,Fire Management Assistance Declaration
4125,6/28/2013,South Dakota,"Severe Storms, Tornado, and Flooding ",Major Disaster Declaration
4124,6/25/2013,Arkansas,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
4123,6/25/2013,Standing Rock Sioux Tribe,Severe Storms and Flooding,Major Disaster Declaration
4122,6/25/2013,Alaska,Flooding,Major Disaster Declaration
5030,6/21/2013,Colorado,East Peak Fire,Fire Management Assistance Declaration
5031,6/21/2013,Colorado,West Fork Fire Complex,Fire Management Assistance Declaration
5029,6/19/2013,Arizona,Doce Fire,Fire Management Assistance Declaration
4121,6/18/2013,Michigan,Flooding,Major Disaster Declaration
4120,6/13/2013,Vermont,Severe Storms and Flooding,Major Disaster Declaration
5027,6/11/2013,Colorado,Black Forest Fire,Fire Management Assistance Declaration
5028,6/11/2013,Colorado,Royal Gorge Fire,Fire Management Assistance Declaration
5026,6/5/2013,New Mexico,Tres Lagunas Fire,Fire Management Assistance Declaration
5025,6/2/2013,California,Power House Fire,Fire Management Assistance Declaration
4119,5/31/2013,Iowa,"Severe Storms, Straight-line Winds, and Flooding",Major Disaster Declaration
4118,5/29/2013,North Dakota,Flooding,Major Disaster Declaration
4117,5/20/2013,Oklahoma,Severe Storms and Tornadoes,Major Disaster Declaration
4115,5/10/2013,South Dakota,Severe Winter Storm and Snowstorm,Major Disaster Declaration
4116,5/10/2013,Illinois,"Severe Storms, Straight-Line Winds and Flooding",Major Disaster Declaration
4114,5/6/2013,Iowa,Severe Winter Storm,Major Disaster Declaration
4113,5/3/2013,Minnesota,Severe Winter Storm,Major Disaster Declaration
5024,5/2/2013,California,Springs Fire,Fire Management Assistance Declaration
5023,5/1/2013,California,Summit Fire,Fire Management Assistance Declaration
3364,4/26/2013,North Dakota,Flooding,Emergency Declaration
4112,4/26/2013,Kansas,Snowstorm,Major Disaster Declaration
4111,4/23/2013,New York,Severe Winter Storm and Snowstorm,Major Disaster Declaration
3363,4/19/2013,Texas,Explosion,Emergency Declaration
4110,4/19/2013,Massachusetts,"Severe Winter Storm, Snowstorm, and Flooding",Major Disaster Declaration
3362,4/17/2013,Massachusetts,Explosions,Emergency Declaration
4109,4/8/2013,Oklahoma,Severe Winter Storm and Snowstorm,Major Disaster Declaration
4108,3/25/2013,Maine,"Winter Storm, Snow Storm, Flooding",Major Disaster Declaration
4107,3/22/2013,Rhode Island,Severe Winter Storm and Snowstorm,Major Disaster Declaration
4106,3/21/2013,Connecticut,Severe Winter Storm and Snowstorm,Major Disaster Declaration
4105,3/19/2013,New Hampshire,Severe Winter Storm and Snowstorm,Major Disaster Declaration
4104,3/5/2013,Navajo Nation,Severe Freeze,Major Disaster Declaration
4103,3/1/2013,Eastern Band of Cherokee Indians,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4102,2/22/2013,Louisiana,Severe Storms and Flooding,Major Disaster Declaration
4101,2/13/2013,Mississippi,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
3361,2/10/2013,Connecticut,Severe Winter Storm,Emergency Declaration
4100,1/29/2013,Arkansas,Severe Winter Storm,Major Disaster Declaration
4099,1/10/2013,Pennsylvania,Hurricane Sandy,Major Disaster Declaration
4098,1/3/2013,Ohio,Hurricane Sandy,Major Disaster Declaration
4204,12/22/2014,New York,"Severe Winter Storm, Snowstorm, and Flooding",Major Disaster Declaration
5083,11/6/2014,Arizona,Slide Fire,Fire Management Assistance Declaration
4203,11/5/2014,Arizona,Severe Storms and Flooding,Major Disaster Declaration
4202,11/5/2014,Nevada,Severe Storms and Flooding,Major Disaster Declaration
4201,11/3/2014,Hawaii,Puʻu ʻŌʻō Volcanic Eruption and Lava Flow,Major Disaster Declaration
4200,10/31/2014,Missouri,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4199,10/29/2014,New Mexico,Severe Storms and Flooding,Major Disaster Declaration
4198,10/9/2014,Montana,"Severe Storms, Straight-line Winds, and Flooding",Major Disaster Declaration
5082,10/8/2014,California,Applegate Fire,Fire Management Assistance Declaration
4197,10/6/2014,New Mexico,Severe Storms and Flooding,Major Disaster Declaration
4196,9/30/2014,Kentucky,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4195,9/25/2014,Michigan,Severe Storms and Flooding,Major Disaster Declaration
5081,9/17/2014,California,King Fire,Fire Management Assistance Declaration
5080,9/16/2014,Oregon,36 Pit Fire,Fire Management Assistance Declaration
5079,9/15/2014,California,Boles Fire,Fire Management Assistance Declaration
5078,9/14/2014,California,Courtney Fire,Fire Management Assistance Declaration
4194,9/12/2014,Hawaii,Tropical Storm Iselle,Major Disaster Declaration
4193,9/11/2014,California,Earthquake,Major Disaster Declaration
4191,9/10/2014,Guam,Tropical Storm Halong,Major Disaster Declaration
4192,9/10/2014,American Samoa,"Severe Storms, Flooding, and Landslides",Major Disaster Declaration
5077,9/5/2014,California,Bridge Fire,Fire Management Assistance Declaration
5076,8/25/2014,California,Oregon Fire,Fire Management Assistance Declaration
5075,8/19/2014,California,Way Fire,Fire Management Assistance Declaration
5074,8/19/2014,California,Junction Fire,Fire Management Assistance Declaration
4190,8/19/2014,North Dakota,Severe Storms and Flooding,Major Disaster Declaration
4189,8/13/2014,Tennessee,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4188,8/11/2014,Washington,Wildfires,Major Disaster Declaration
5073,8/6/2014,Oregon,Rowena Fire,Fire Management Assistance Declaration
5072,8/6/2014,Washington,Hansel Fire,Fire Management Assistance Declaration
4187,8/5/2014,Iowa,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
5071,8/3/2014,Washington,Snag Canyon Fire,Fire Management Assistance Declaration
5070,8/3/2014,California,Day Fire,Fire Management Assistance Declaration
5069,8/3/2014,California,Bald Fire,Fire Management Assistance Declaration
5068,8/2/2014,California,Oregon Gulch Fire,Fire Management Assistance Declaration
5067,8/2/2014,California,Eiler Fire,Fire Management Assistance Declaration
5066,8/1/2014,Oregon,Oregon Gulch Fire,Fire Management Assistance Declaration
4185,7/28/2014,Nebraska,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4186,7/28/2014,South Dakota,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
4183,7/24/2014,Nebraska,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4184,7/24/2014,Iowa,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
3371,7/23/2014,Washington,Wildfires,Emergency Declaration
5065,7/21/2014,Utah,Anaconda Fire,Fire Management Assistance Declaration
4182,7/21/2014,Minnesota,"Severe Storms, Straight-line Winds, Flooding, Landslides, and Mudslides",Major Disaster Declaration
5064,7/19/2014,Washington,Saddle Mountain Fire,Fire Management Assistance Declaration
5063,7/19/2014,Washington,Watermelon Hill Fire,Fire Management Assistance Declaration
5062,7/17/2014,Washington,Carlton Complex Fire,Fire Management Assistance Declaration
5061,7/17/2014,Washington,Chiwaukum Fire,Fire Management Assistance Declaration
5060,7/14/2014,Oregon,Moccasin Hill Fire,Fire Management Assistance Declaration
4181,7/14/2014,Iowa,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
5059,7/10/2014,Washington,Mills Canyon Fire,Fire Management Assistance Declaration
5058,7/10/2014,Washington,Lake Spokane Fire,Fire Management Assistance Declaration
4180,7/8/2014,New York,Severe Storms and Flooding,Major Disaster Declaration
5057,7/2/2014,California,Butts Fire,Fire Management Assistance Declaration
4179,6/17/2014,Nebraska,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4178,6/11/2014,Vermont,Severe Storms and Flooding,Major Disaster Declaration
5056,6/8/2014,Oregon,Two Bulls Fire,Fire Management Assistance Declaration
5055,5/14/2014,California,Cocos Fire,Fire Management Assistance Declaration
5054,5/14/2014,California,Poinsettia Fire,Fire Management Assistance Declaration
5053,5/12/2014,Texas,Double Diamond Fire,Fire Management Assistance Declaration
4177,5/6/2014,Florida,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
5052,5/5/2014,Oklahoma,Guthrie Fire,Fire Management Assistance Declaration
4176,5/2/2014,Alabama,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4175,4/30/2014,Mississippi,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
4174,4/29/2014,Arkansas,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
4173,4/22/2014,Indiana,Severe Winter Storm and Snowstorm,Major Disaster Declaration
4172,4/17/2014,Montana,Ice Jams and Flooding,Major Disaster Declaration
4171,4/11/2014,Tennessee,Severe Winter Storm,Major Disaster Declaration
4170,4/10/2014,Maryland,Snow Storm,Major Disaster Declaration
4169,4/4/2014,Oregon,Severe Winter Storm,Major Disaster Declaration
4168,4/2/2014,Washington,Flooding and Mudslides,Major Disaster Declaration
4167,3/31/2014,North Carolina,Severe Winter Storm,Major Disaster Declaration
3370,3/24/2014,Washington,Flooding and Mudslides,Emergency Declaration
4166,3/12/2014,South Carolina,Severe Winter Storm,Major Disaster Declaration
4165,3/6/2014,Georgia,Severe Winter Storm,Major Disaster Declaration
3369,2/12/2014,South Carolina,Severe Winter Storm,Emergency Declaration
3368,2/11/2014,Georgia,Severe Winter Storm,Emergency Declaration
3367,2/6/2014,Pennsylvania,Severe Winter Storm,Emergency Declaration
4164,1/30/2014,Oklahoma,Severe Winter Storm,Major Disaster Declaration
4163,1/29/2014,Vermont,Severe Winter Storms,Major Disaster Declaration
4162,1/23/2014,Alaska,"Severe Storms, Straight-line Winds, and Flooding",Major Disaster Declaration
5051,1/16/2014,California,Colby Fire,Fire Management Assistance Declaration
4161,1/16/2014,Alaska,Flooding,Major Disaster Declaration
3366,1/10/2014,West Virginia,Chemical Spill,Emergency Declaration
4160,1/6/2014,Arkansas,Severe Winter Storm,Major Disaster Declaration
4247,12/29/2015,Oklahoma,Severe Winter Storms and Flooding,Major Disaster Declaration
4246,12/23/2015,Idaho,Severe Storm and Straight-line Winds,Major Disaster Declaration
4245,11/25/2015,Texas,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
5117,11/11/2015,Oklahoma,DLD Fire Complex,Fire Management Assistance Declaration
4244,10/30/2015,Alaska,Severe Storm,Major Disaster Declaration
4243,10/20/2015,Washington,Wildfires and Mudslides,Major Disaster Declaration
4242,10/15/2015,Washington,Severe Windstorm,Major Disaster Declaration
5116,10/14/2015,Texas,Hidden Pines Fire,Fire Management Assistance Declaration
5115,10/11/2015,Wyoming,Station Fire,Fire Management Assistance Declaration
4241,10/5/2015,South Carolina,Severe Storms and Flooding,Major Disaster Declaration
3373,10/3/2015,South Carolina,Severe Storms and Flooding,Emergency Declaration
4240,9/22/2015,California,Valley Fire and Butte Fire,Major Disaster Declaration
5114,9/14/2015,Oregon,Dry Gulch Fire,Fire Management Assistance Declaration
5113,9/14/2015,Washington,Horsethief Butte Fire,Fire Management Assistance Declaration
5112,9/13/2015,California,Valley Fire,Fire Management Assistance Declaration
5111,9/10/2015,California,Butte Fire,Fire Management Assistance Declaration
5110,8/29/2015,Idaho,Tepee Springs Fire,Fire Management Assistance Declaration
5109,8/24/2015,Washington,Goodell Fire,Fire Management Assistance Declaration
5108,8/21/2015,Washington,Renner Fire,Fire Management Assistance Declaration
3372,8/21/2015,Washington,Wildfires,Emergency Declaration
5107,8/21/2015,Oregon,Grizzly Bear Fire Complex,Fire Management Assistance Declaration
5106,8/19/2015,Washington,Twisp River Fire,Fire Management Assistance Declaration
5105,8/15/2015,Idaho,Municipal Fire,Fire Management Assistance Declaration
5104,8/15/2015,Washington,Okanogan County Fire Complex,Fire Management Assistance Declaration
5103,8/15/2015,Washington,Stevens County Fire Complex,Fire Management Assistance Declaration
5102,8/15/2015,Oregon,Canyon Creek Fire Complex,Fire Management Assistance Declaration
5101,8/15/2015,Washington,Stickpin Fire,Fire Management Assistance Declaration
5100,8/14/2015,Washington,Chelan Fire Complex,Fire Management Assistance Declaration
5099,8/14/2015,Idaho,Clearwater Lawyer Branch Fire Complex,Fire Management Assistance Declaration
5098,8/14/2015,Washington,Nine Mile Fire,Fire Management Assistance Declaration
5097,8/13/2015,Oregon,Cornet and Windy Ridge Fire Complex,Fire Management Assistance Declaration
4239,8/12/2015,Kentucky,"Severe Storms, Tornadoes, Straight-line Winds, Flooding, Landslides, and Mudslides",Major Disaster Declaration
5096,8/9/2015,Oregon,Krauss Lane Fire,Fire Management Assistance Declaration
5095,8/9/2015,Arizona,Willow Fire,Fire Management Assistance Declaration
4238,8/7/2015,Missouri,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4237,8/7/2015,Oglala Sioux Tribe of the Pine Ridge Reservation,"Severe Storms, Straight-line Winds, and Flooding",Major Disaster Declaration
4236,8/7/2015,West Virginia,"Severe Storms, Straight-line Winds, Flooding, Landslides, and Mudslides",Major Disaster Declaration
5094,8/5/2015,Washington,Highway 8 Fire,Fire Management Assistance Declaration
4235,8/5/2015,Commonwealth of the Northern Mariana Islands,Typhoon Soudelor,Major Disaster Declaration
5093,8/2/2015,California,Rocky Fire,Fire Management Assistance Declaration
4234,7/31/2015,Iowa,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
5092,7/31/2015,Oregon,Stouts Creek Fire,Fire Management Assistance Declaration
4233,7/30/2015,South Dakota,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4232,7/29/2015,Vermont,Severe Storm and Flooding,Major Disaster Declaration
5091,7/23/2015,California,Wragg Fire,Fire Management Assistance Declaration
4231,7/22/2015,New Jersey,Severe Storm,Major Disaster Declaration
5090,7/21/2015,Washington,Blue Creek Fire,Fire Management Assistance Declaration
4230,7/20/2015,Kansas,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
5089,7/17/2015,California,North Fire,Fire Management Assistance Declaration
4229,7/16/2015,Colorado,"Severe Storms, Tornadoes, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4228,7/13/2015,Louisiana,Severe Storms and Flooding,Major Disaster Declaration
4227,7/7/2015,Wyoming,Severe Storms and Flooding,Major Disaster Declaration
5088,7/6/2015,Idaho,Cape Horn Fire,Fire Management Assistance Declaration
5087,6/29/2015,Washington,Sleepy Hollow Fire,Fire Management Assistance Declaration
4226,6/26/2015,Arkansas,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4225,6/25/2015,Nebraska,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
5086,6/17/2015,Arizona,Kearney River Fire,Fire Management Assistance Declaration
5085,6/16/2015,Alaska,Card Street Fire,Fire Management Assistance Declaration
5084,6/15/2015,Alaska,Sockeye Fire,Fire Management Assistance Declaration
4224,6/5/2015,Guam,Typhoon Dolphin,Major Disaster Declaration
4223,5/29/2015,Texas,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4222,5/26/2015,Oklahoma,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4221,5/21/2015,West Virginia,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
